Question,Answer
Title: All you need to know about grape farming in IndiaDescription: India is among the leading 10 countries in the world in the production of grapes. Mostly used in India as a table fresh fruit, grapes are also used for making wines and raisins.Did you know? There are more than 25 varieties of grapes!Table purpose varietiesSeeded  Cardinal, concord Emperor, Italia, Anab-e-Shahi, Cheema Sahebi, Kali sahebi, Rao Sahebi.Seedless  Thompson seedless, flame seedless, Kishmish Chorni, Perlette, Arkavati. Raisin purpose varietiesThompson seedless, Manik Chaman, Sonaka, Black Corinth, Black Monukka, Arkavati, Dattier. Wine varieties Chardonnay, Cabernet Sauvignon, Bangalore Blue, Muscat, Blanc, Pinot Noir, Pinot Blanc, White Riesling, and Merlot. To get the best grapes yield, the following factors should be taken care of  Soil: The ideal soil for grapes should be fertile with 6.5-8.5 pH, should not be alkaline and have medium water holding capacity.Climate: In India grapes are grown in sub-tropical, hot tropical and mild tropical climatic regions.Season: Usually, planting is done from October to January. In regions where the monsoon is late, planting is also done during June-July.Spacing: Spacing for planting depends on soil type, variety and method of training. The distance between two rows may be 2  3 m while distance between vines within a row will be half of that, accommodating vines from 2000 to 5000 per hectare.Nutrients: Grapes need Nitrogen, Phosphorus, Potassium, Calcium, Magnesium, Sulphur, Iron, Manganese, Zinc, Copper and Boron. It is recommended to test your soil for deficient nutrients and provide fertilisers accordingly.Irrigation system: Drip irrigation is highly recommended as it efficiently meets the water requirement of the crop.Weeds and disease management: It is necessary to use weedicides and pesticides to keep your crop away from weeds and diseases.How can Mahadhan help you in getting the best yield? Mahadhan is one of the most trusted fertiliser brands in India and has a variety of products that offer the right nutrition for your crop. You can browse through our products here  https://mahadhan.co.in/product-portfolio/In addition, you can also watch our videos and get some valuable tips on farming. To watch videos, click here  https://mahadhan.co.in/knowledge-centre/multimedia/
This is a test entry.
Title: Cotton farming  the success storyDescription: Cotton is one of the most important crops in the Marathwada and Vidarbha region of Maharashtra. At a time when most regions in the state were dealing with numerous farming related problems, one man stood against all odds, applied modern farming techniques and emerged as an inspiration for other farmers  Mr. IngleThe back-story: Vijay was using the traditional methods of cotton farming and was getting an average produce. He realized the water supply could be one of the hindrances and drip irrigation might help him increase his produce.The challenge: None of the farmers in and around his village had used drip irrigation for cotton. There was no way he could guarantee the success of drip irrigation. Was it worth the risk? Lets find out.The implementation: He purchased the required equipment and set up drip irrigation in his farm, sprawling across 14 acres. He had to invest a considerable amount, but he was sure it would pay off.The result: Drip irrigation allowed uniform growth of plants. In addition, it became easier to provide the necessary nutrients by using fertiliser through drip irrigation. The same year, he produced a whopping 35 quintals of cotton in his farm and set a benchmark for others to look up to. He was awarded Appasaheb Pawar Irrigation award for his innovative farming methods and achieving a feat unheard of in the region.Mr. Ingle also recommends using BT Cotton farming as the BT variety of cotton is more resistant to pests and yields a good produce as well.Of course, there are a lot of other important things you must follow to get a good yield of cotton. For all the valuable tips on cotton and other crops, all you have to do is visit https://mahadhan.co.in/crop-portfolio/cotton-farming/
Title: Why is soil testing important for banana farming?Description: If you are planning to cultivate bananas, or any other crop for that matter, the first thing you must do is test the soil. Heres why soil testing is important.Every crop has its own basic pH requirement. Soil testing helps in determining the pH level of the soil. In the case of banana, it requires 6.5-7.5 pH.Soil testing detects the nutrients present in the soil. This will help you provide additional nutrition through fertilisers as required.Giving the right amount of fertilisers will ensure better yield and quality.Which nutrients does banana require?Banana requires Nitrogen, Phosphorus, Potassium, Calcium, Magnesium, Sulphur, Iron, Manganese, Zinc, Copper and Boron.Which fertilisers fulfill bananas nutritional needs?Mahadhan offers a range of products such as Mahadhan Sulphate, Mahadhan Super, Mahadhan Potash, Mahadhan 24:24:0, Mahadhan 13:0:45 and more. To get the complete list, click here https://mahadhan.co.in/crop-portfolio/banana-farming/Heres some more information that will help you get a better yield:Climate: The ideal climate should be warm and humid. On an average, banana requires a rainfall of 1,700 mm throughout the year.Soil: Well-drained loamy soils are suitable for banana cultivation. Alkaline and saline soils should be avoided.Spacing: To get the maximum yield, a spacing of 1.2  1.5 m is recommended.Irrigation: Banana requires a lot of water. Drip irrigation is found to be useful as it helps in uniform water supply and reduces water wastage.If you wish to know more about soil testing, visit  https://mahadhan.co.in/soil-lab/

Title: How a farmer cultivated 144 tonne sugarcane per acreDescription: The world is full of examples of farmers adopting modern farming techniques and cultivating a high yield. Mr. Ganpatrao Patil is one such example. He not only cultivated a high yield of sugarcane but also motivated and guided other farmers in the locality to use modern farming techniques and take the road towards prosperity.About Mr. Ganpatrao PatilMr. Ganpatrao Patil was motivated by his father to use his knowledge and skills in farming. He gave up formal education after his 12th standard and focussed on farming. He has consistently delivered great results and set many benchmarks in farming, be it soybean, grapes or sugarcane. He currently serves as the Chairman of Datt Shetkari Sahkari Saakhar Kaarkhana, Shirol.The targetWith an aim to motivate other farmers to cultivate a high sugarcane yield, Mr. Patil decided to lead by example. He first set a target of 150 tonne per acre and started working towards achieving this goal.The game changerDitching traditional methods of water supply, Mr. Patil decided to implement drip irrigation techniques. This proved to be beneficial.Drip irrigation reduces water wastageEvaporation is minimal, consumption is loweredFertilisers can be used via the dripping systemHighly-targeted zones can be watered efficiently Along with drip irrigation, it is also essential to take care of the basic requirements of sugarcane crops, such as:Soil: Deep and rich loamy soils are ideal for its growth.Essential nutrients: Nitrogen, Phosphorous and Potassium are the most important nutrients required for a good produce of sugarcane.Climate: It requires hot and humid climate with average temperature of 21-27C and 75cm -150 cm rainfall.Fertilisers: Sugarcane requires a heavy dose of fertilisers as it exhausts the fertility of the soil quickly. However, it is recommended to calculate the exact quantity of fertiliser by using the dose calculator feature on the Mahadhan App. You can download the app here.Intercropping: In areas with adequate irrigation, sowing one row of soybean or black gram helps increase soil fertility and sugarcane yield.To know more about sugarcane farming and get valuable tips, visit, https://mahadhan.co.in/crop-portfolio/sugarcane-farming/
Title: Potato  diseases and symptomsDescription: Potatoes are one of the most common and important food sources on the planet. While there are several benefits of growing potatoes, its important to know that there are many diseases that the tubers catch. So, if you are growing potatoes this season, here are the types of potato diseases, potato disease control, and their management you should know:Late blight: Late blight damages leaves, stems and tubers (potatoes). Affected leaves appear blistered as if scalded by hot water and eventually rot and dry out. To treat late blight, plant resistant cultivators are used. You should also use soaker hoses to give plants time to dry out during the day as the disease develops in humid conditions.Bacterial Wilt: In this disease, the infected plant first begins to wilt and spreads to all parts of the plant. Leaves become yellow at their bases. Then the whole plant wilts and dies. Bacterial wilt has no cure. However, it can be controlled using methods of crop rotation, selecting suitable sites, using certified seeds and uprooting diseased plants.Blackheart disorder: Blackheart occurs primarily in storage when the tubers do not receive enough oxygen. The potatoes develop acute oxygen deficiency that results in blackening at the center. The tissue dies from the inside out and turns jet black. The disease occurs either due to low temperature in confined storage or high field soil temperatures. Blackheart can be prevented through good ventilation in storage, avoiding flooded areas and extreme temperatures. To get more information and valuable tips on farming, visit https://mahadhan.co.in/

Title: How to get the best Soybean produceDescription: Soybean is one of the most important crops in India. If you follow the right procedure and modern farming techniques, this crop will surely give you maximum returns in just 4 months. Mr. Prashant Patil from Sangli has produced a whopping 28 quintal per acre of soybean. Here are a few important farming tips from Mr. Patil that will help you get a good soybean produce Know the type of your soil: Soybean requires well-drained and fertile loamy soil. In order to prevent damage from water logging, it is recommended to have proper drainage system during the rainy season.Examine the seeds well in advance: Purchase seeds a few days before sowing them. This will help you in analysing the germination capability of the seeds. The recommended germination for soybean is around 70%.Seed rate: Ideally, the average seed rate is around 16 Kg per acre. However it varies depending on various factors such as seed size, germination, percentage and sowing time.Seed treatment: It is advisable to use 250 gm rhizobium and 250 gm PSB per 15 Kg soybean seeds. Caution: after adding rhizobium and PSB, dont rub the seeds by hands as it can damage the coating and invite fungal diseases.Fertiliser management: Sulphur and Phosphate are two of the most essential nutrients for Soybean. To fulfill this requirement it is recommended to use Single Super Phosphate and Bensulf. Mr Prashant Patil used 10 Kg Mahadhan Bensulf per acre and got excellent results.Weed control: The spraying of weedicides must be done within 2 days of sowing. Carry out manual weeding after 2 weeks.Pest and disease control: Spray pesticides within 10 days to protect your crop from pests and diseases. In addition, it is advisable to use Mahadhan 19:19:19. 12:61:00 and micro nutrients to provide the essential nutrition to your crop during its growing period.Drip irrigation: In case of less rainfall, it is recommended to use sprinkler irrigation. This has resulted in a good output for Mr Patil and has increased the produce by around 25%.To know more about soybean farming and benefit from useful tips, visit www.mahadhan.co.in
Title: All you need to know about grape farming in IndiaDescription: India is among the leading 10 countries in the world in the production of grapes. Mostly used in India as a table fresh fruit, grapes are also used for making wines and raisins.Did you know? There are more than 25 varieties of grapes!Table purpose varietiesSeeded  Cardinal, concord Emperor, Italia, Anab-e-Shahi, Cheema Sahebi, Kali sahebi, Rao Sahebi.Seedless  Thompson seedless, flame seedless, Kishmish Chorni, Perlette, Arkavati. Raisin purpose varietiesThompson seedless, Manik Chaman, Sonaka, Black Corinth, Black Monukka, Arkavati, Dattier. Wine varieties Chardonnay, Cabernet Sauvignon, Bangalore Blue, Muscat, Blanc, Pinot Noir, Pinot Blanc, White Riesling, and Merlot. To get the best grapes yield, the following factors should be taken care of  Soil: The ideal soil for grapes should be fertile with 6.5-8.5 pH, should not be alkaline and have medium water holding capacity.Climate: In India grapes are grown in sub-tropical, hot tropical and mild tropical climatic regions.Season: Usually, planting is done from October to January. In regions where the monsoon is late, planting is also done during June-July.Spacing: Spacing for planting depends on soil type, variety and method of training. The distance between two rows may be 2  3 m while distance between vines within a row will be half of that, accommodating vines from 2000 to 5000 per hectare.Nutrients: Grapes need Nitrogen, Phosphorus, Potassium, Calcium, Magnesium, Sulphur, Iron, Manganese, Zinc, Copper and Boron. It is recommended to test your soil for deficient nutrients and provide fertilisers accordingly.Irrigation system: Drip irrigation is highly recommended as it efficiently meets the water requirement of the crop.Weeds and disease management: It is necessary to use weedicides and pesticides to keep your crop away from weeds and diseases.How can Mahadhan help you in getting the best yield? Mahadhan is one of the most trusted fertiliser brands in India and has a variety of products that offer the right nutrition for your crop. You can browse through our products here  https://mahadhan.co.in/product-portfolio/In addition, you can also watch our videos and get some valuable tips on farming. To watch videos, click here  https://mahadhan.co.in/knowledge-centre/multimedia/This is a test entry.
Title: All you need to know about grape farming in IndiaDescriptionDescription:  India is among the leading 10 countries in the world in the production of grapes. Mostly used in India as a table fresh fruit, grapes are also used for making wines and raisins.Did you know? There are more than 25 varieties of grapes!Table purpose varietiesSeeded  Cardinal, concord Emperor, Italia, Anab-e-Shahi, Cheema Sahebi, Kali sahebi, Rao Sahebi.Seedless  Thompson seedless, flame seedless, Kishmish Chorni, Perlette, Arkavati. Raisin purpose varietiesThompson seedless, Manik Chaman, Sonaka, Black Corinth, Black Monukka, Arkavati, Dattier. Wine varieties Chardonnay, Cabernet Sauvignon, Bangalore Blue, Muscat, Blanc, Pinot Noir, Pinot Blanc, White Riesling, and Merlot. To get the best grapes yield, the following factors should be taken care of  Soil: The ideal soil for grapes should be fertile with 6.5-8.5 pH, should not be alkaline and have medium water holding capacity.Climate: In India grapes are grown in sub-tropical, hot tropical and mild tropical climatic regions.Season: Usually, planting is done from October to January. In regions where the monsoon is late, planting is also done during June-July.Spacing: Spacing for planting depends on soil type, variety and method of training. The distance between two rows may be 2  3 m while distance between vines within a row will be half of that, accommodating vines from 2000 to 5000 per hectare.Nutrients: Grapes need Nitrogen, Phosphorus, Potassium, Calcium, Magnesium, Sulphur, Iron, Manganese, Zinc, Copper and Boron. It is recommended to test your soil for deficient nutrients and provide fertilisers accordingly.Irrigation system: Drip irrigation is highly recommended as it efficiently meets the water requirement of the crop.Weeds and disease management: It is necessary to use weedicides and pesticides to keep your crop away from weeds and diseases.How can Mahadhan help you in getting the best yield? Mahadhan is one of the most trusted fertiliser brands in India and has a variety of products that offer the right nutrition for your crop. You can browse through our products here  https://mahadhan.co.in/product-portfolio/In addition, you can also watch our videos and get some valuable tips on farming. To watch videos, click here  https://mahadhan.co.in/knowledge-centre/multimedia/This is a test entry
Title: testDescription: test
Title: tDescription: test
